__time,/mavros/local_position/pose/header/stamp/nanosec,/mavros/local_position/pose/header/stamp/sec,/mavros/local_position/pose/pose/orientation/w,/mavros/local_position/pose/pose/orientation/x,/mavros/local_position/pose/pose/orientation/y,/mavros/local_position/pose/pose/orientation/z,/mavros/local_position/pose/pose/position/x,/mavros/local_position/pose/pose/position/y,/mavros/local_position/pose/pose/position/z,/state_vector/data[0],/state_vector/data[1],/state_vector/data[2],/state_vector/data[3],/state_vector/data[4],/state_vector/data[5],/state_vector/data[6],/state_vector/data[7],/state_vector/data[8],/state_vector/data[9],/state_vector/layout/data_offset
1709397270.226491,,,,,,,,,,0.107061799,-0.277575284,0.034278363,-0.003181808,0.942226783,-0.043497503,-0.091381498,-0.004805700,0.484944671,-0.964611769,0.000000000
1709397270.231062,436447036.000000000,1709397154.000000000,-0.556037588,0.005841130,0.018681487,0.830926688,0.473568261,-0.966353059,9.778947830,,,,,,,,,,,
1709397270.261092,,,,,,,,,,0.090677462,-0.281110883,0.032919192,-0.006371877,0.952579618,-0.032542296,-0.091301297,-0.006151213,0.473568261,-0.966353059,0.000000000
1709397270.278117,479656338.000000000,1709397154.000000000,-0.565074768,0.006689075,0.017841421,0.824819642,0.462343544,-0.967702508,9.775239944,,,,,,,,,,,
1709397270.292937,,,,,,,,,,0.074413175,-0.284130067,0.031676068,-0.006371877,0.963311143,-0.021339741,-0.090855407,-0.006151213,0.462343544,-0.967702508,0.000000000
1709397270.314135,520372446.000000000,1709397154.000000000,-0.574449344,0.007479609,0.016985220,0.818329680,0.451248109,-0.968642116,9.771438599,,,,,,,,,,,
1709397270.325336,,,,,,,,,,0.058246559,-0.286668122,0.032330594,-0.010295243,0.974439274,-0.009174126,-0.090254389,-0.007804388,0.451248109,-0.968642116,0.000000000
1709397270.348466,553200376.000000000,1709397154.000000000,-0.579199220,0.007773698,0.016591329,0.814980175,0.440094262,-0.967417657,9.767152786,,,,,,,,,,,
1709397270.357841,,,,,,,,,,0.041989954,-0.289147198,0.031525474,-0.014040322,0.987718153,0.004454068,-0.089753515,-0.009318489,0.440094262,-0.967417657,0.000000000
1709397270.387900,594143611.000000000,1709397154.000000000,-0.588846960,0.008318101,0.015766821,0.808048041,0.426235735,-0.964782774,9.763536453,,,,,,,,,,,
1709397270.390622,,,,,,,,,,0.022997129,-0.291788310,0.030652666,-0.017883274,1.002394057,0.021838630,-0.088652493,-0.010801959,0.426235735,-0.964782774,0.000000000
1709397270.426939,,,,,,,,,,0.017831326,-0.291788310,0.030652666,-0.021731273,1.014421595,0.021838630,-0.088652493,-0.012185672,0.426235735,-0.964782774,0.000000000
1709397270.431370,635880232.000000000,1709397154.000000000,-0.598785566,0.009007132,0.014726796,0.800723298,0.415271789,-0.962371290,9.762739182,,,,,,,,,,,
1709397270.457126,,,,,,,,,,0.001670105,-0.293268055,0.030159837,-0.025921226,1.028847053,0.035539493,-0.087471802,-0.013710037,0.415271789,-0.962371290,0.000000000
1709397270.458853,665051927.000000000,1709397154.000000000,-0.603835696,0.009393467,0.014138252,0.796928048,0.404795974,-0.958471417,9.763660431,,,,,,,,,,,
1709397270.489673,,,,,,,,,,-0.014034418,-0.293763489,0.029212369,-0.029250086,1.044747250,0.048736695,-0.086546290,-0.014873972,0.404795974,-0.958471417,0.000000000
1709397270.509143,714981321.000000000,1709397154.000000000,-0.613959001,0.010033715,0.013007053,0.789166990,0.395470291,-0.950962245,9.765106201,,,,,,,,,,,
1709397270.527478,,,,,,,,,,-0.028620209,-0.293349802,0.028510960,-0.032401064,1.064243018,0.061829567,-0.084842630,-0.015927765,0.395470291,-0.950962245,0.000000000
1709397270.537496,743304358.000000000,1709397154.000000000,-0.623991494,0.010489443,0.011904666,0.781270162,0.386152953,-0.943621099,9.767055511,,,,,,,,,,,
1709397270.555598,,,,,,,,,,-0.043229018,-0.292483032,0.029326229,-0.032401064,1.083556947,0.073976561,-0.083639004,-0.015927765,0.386152953,-0.943621099,0.000000000
1709397270.573985,780040240.000000000,1709397154.000000000,-0.628963247,0.010696475,0.011306182,0.777279250,0.376859993,-0.936421275,9.768976212,,,,,,,,,,,
1709397270.590329,,,,,,,,,,-0.057844775,-0.291246623,0.026645005,-0.035324621,1.102715661,0.085132286,-0.081424065,-0.016824364,0.376859993,-0.936421275,0.000000000
1709397270.607876,813931194.000000000,1709397154.000000000,-0.639777017,0.011041511,0.009772499,0.768419156,0.365163863,-0.928114951,9.769939423,,,,,,,,,,,
1709397270.622098,,,,,,,,,,-0.074894992,-0.289029151,0.026607885,-0.038372552,1.122966898,0.097653225,-0.079413097,-0.017715003,0.365163863,-0.928114951,0.000000000
1709397270.640994,847020448.000000000,1709397154.000000000,-0.647599288,0.011288208,0.008393158,0.761851259,0.358084798,-0.923637390,9.769275665,,,,,,,,,,,
1709397270.655570,,,,,,,,,,-0.087359397,-0.287288159,0.025619064,-0.040942248,1.139375314,0.104357652,-0.077428951,-0.018377273,0.358084798,-0.923637390,0.000000000
1709397270.676591,881607291.000000000,1709397154.000000000,-0.652479803,0.011465338,0.007431449,0.757682941,0.348748386,-0.917666912,9.767769814,,,,,,,,,,,
1709397270.687829,,,,,,,,,,-0.102112366,-0.284381449,0.023162298,-0.043441610,1.157262508,0.112846099,-0.074700230,-0.018986254,0.348748386,-0.917666912,0.000000000
1709397270.716494,918672732.000000000,1709397154.000000000,-0.661996029,0.011672127,0.005536483,0.749396054,0.337281495,-0.910182834,9.765620232,,,,,,,,,,,
1709397270.720892,,,,,,,,,,-0.119026992,-0.279232740,0.023380093,-0.046097339,1.176649081,0.123224325,-0.072543863,-0.019715642,0.337281495,-0.910182834,0.000000000
1709397270.756686,,,,,,,,,,-0.124505870,-0.279232740,0.023380093,-0.049071940,1.188537273,0.123224325,-0.072543863,-0.020331690,0.337281495,-0.910182834,0.000000000
1709397270.761945,967040620.000000000,1709397154.000000000,-0.671164141,0.011573359,0.003776858,0.741208868,0.328654230,-0.904810011,9.763944626,,,,,,,,,,,
1709397270.788639,,,,,,,,,,-0.138643118,-0.274725705,0.023801518,-0.051686141,1.205783902,0.131039724,-0.071117156,-0.020799564,0.328654230,-0.904810011,0.000000000
1709397270.797246,3548964.000000000,1709397155.000000000,-0.675689396,0.011537708,0.002752036,0.737091090,0.320272714,-0.899542868,9.763063431,,,,,,,,,,,
1709397270.820751,,,,,,,,,,-0.152565683,-0.269573003,0.020478946,-0.054090764,1.222910387,0.137893349,-0.066911648,-0.021199869,0.320272714,-0.899542868,0.000000000
1709397270.833668,36187176.000000000,1709397155.000000000,-0.683666082,0.011489512,0.000998417,0.729703869,0.312031835,-0.894178689,9.762871742,,,,,,,,,,,
1709397270.854224,,,,,,,,,,-0.166378639,-0.263941139,0.020145796,-0.056404208,1.240119360,0.143717706,-0.064790338,-0.021527013,0.312031835,-0.894178689,0.000000000
1709397270.872585,78383273.000000000,1709397155.000000000,-0.692282666,0.011368870,-0.000890047,0.721536317,0.303956330,-0.888731182,9.763445854,,,,,,,,,,,
1709397270.886345,,,,,,,,,,-0.180057213,-0.257548571,0.020715066,-0.056404208,1.257397033,0.148933247,-0.063321750,-0.021527013,0.303956330,-0.888731182,0.000000000
1709397270.907799,114025811.000000000,1709397155.000000000,-0.696484674,0.011253481,-0.001855320,0.717481065,0.293482602,-0.882473588,9.765193939,,,,,,,,,,,
1709397270.919528,,,,,,,,,,-0.196164961,-0.251878828,0.018631674,-0.058787235,1.275470084,0.153216258,-0.059747533,-0.021749828,0.293482602,-0.882473588,0.000000000
1709397270.947812,153766167.000000000,1709397155.000000000,-0.705511781,0.010912866,-0.004068181,0.708602483,0.283436537,-0.876262724,9.767280579,,,,,,,,,,,
1709397270.952535,,,,,,,,,,-0.211875959,-0.245707393,0.018014060,-0.060714026,1.293481614,0.156518176,-0.056550937,-0.021869731,0.283436537,-0.876262724,0.000000000
1709397270.984549,,,,,,,,,,-0.217571768,-0.245707393,0.018014060,-0.062394907,1.305267409,0.156518176,-0.056550937,-0.021916976,0.283436537,-0.876262724,0.000000000
1709397270.990405,196719697.000000000,1709397155.000000000,-0.712649313,0.010485710,-0.005879932,0.701417578,0.273866117,-0.870162487,9.769251823,,,,,,,,,,,
1709397271.018311,,,,,,,,,,-0.232868831,-0.239247382,0.018093345,-0.063923791,1.323138490,0.158815250,-0.054760350,-0.021920703,0.273866117,-0.870162487,0.000000000
1709397271.029849,236190956.000000000,1709397155.000000000,-0.717241892,0.010120140,-0.007002958,0.696715670,0.264711320,-0.864148080,9.770665169,,,,,,,,,,,
1709397271.050538,,,,,,,,,,-0.247781068,-0.232321441,0.016497330,-0.063923791,1.340908707,0.160226882,-0.050601821,-0.021920703,0.264711320,-0.864148080,0.000000000
1709397271.076517,280900761.000000000,1709397155.000000000,-0.723859359,0.009501297,-0.008538328,0.689829391,0.255846679,-0.859792948,9.774743080,,,,,,,,,,,
1709397271.083804,,,,,,,,,,-0.262433906,-0.221217811,0.016053764,-0.065591833,1.357004537,0.159363285,-0.047678526,-0.021835921,0.255846679,-0.859792948,0.000000000
1709397271.117031,318314127.000000000,1709397155.000000000,-0.730779141,0.008765470,-0.009940095,0.682485359,0.249080420,-0.856193662,9.777246475,,,,,,,,,,,
1709397271.117068,,,,,,,,,,-0.268252820,-0.221217811,0.016053764,-0.066855960,1.368730041,0.159363285,-0.047678526,-0.021691860,0.255846679,-0.859792948,0.000000000
1709397271.147602,353896413.000000000,1709397155.000000000,-0.734096093,0.008323415,-0.010691933,0.678910384,0.242594466,-0.852524281,9.778550148,,,,,,,,,,,
1709397271.149657,,,,,,,,,,-0.287354626,-0.204097822,0.015047252,-0.067868663,1.387708938,0.156379461,-0.041959187,-0.021480071,0.242594466,-0.852524281,0.000000000
1709397271.184573,,,,,,,,,,-0.293234854,-0.204097822,0.015047252,-0.068879545,1.399403813,0.156379461,-0.041959187,-0.021242353,0.242594466,-0.852524281,0.000000000
1709397271.188936,395203651.000000000,1709397155.000000000,-0.740455675,0.007368173,-0.012122485,0.671955435,0.236596480,-0.848059416,9.778924942,,,,,,,,,,,
1709397271.217702,,,,,,,,,,-0.305143666,-0.195164576,0.014613768,-0.069733506,1.415548119,0.154209867,-0.038907697,-0.020919416,0.236596480,-0.848059416,0.000000000
1709397271.226564,432475870.000000000,1709397155.000000000,-0.746506812,0.006301735,-0.013565218,0.665209719,0.229687303,-0.841658056,9.777802467,,,,,,,,,,,
1709397271.248566,,,,,,,,,,-0.317994224,-0.184503794,0.014035383,-0.070498499,1.433613405,0.151017457,-0.035157487,-0.020599918,0.229687303,-0.841658056,0.000000000
1709397271.256653,462227140.000000000,1709397155.000000000,-0.749396036,0.005770936,-0.014197395,0.661944713,0.225723445,-0.837923646,9.776355743,,,,,,,,,,,
1709397271.281806,,,,,,,,,,-0.327929980,-0.177532896,0.013581001,-0.071086502,1.448996147,0.148373514,-0.032659544,-0.020207811,0.225723445,-0.837923646,0.000000000
1709397271.302818,508128967.000000000,1709397155.000000000,-0.754897583,0.004738571,-0.015369074,0.655645495,0.219443545,-0.831899166,9.773241997,,,,,,,,,,,
1709397271.316088,,,,,,,,,,-0.340212253,-0.165545538,0.013045669,-0.071562674,1.466653285,0.143116251,-0.028784490,-0.019782553,0.219443545,-0.831899166,0.000000000
1709397271.335538,541016705.000000000,1709397155.000000000,-0.760023614,0.003614651,-0.016468059,0.649676864,0.215900019,-0.826842308,9.773937225,,,,,,,,,,,
1709397271.348389,,,,,,,,,,-0.349788585,-0.154446214,0.012776000,-0.071952154,1.483327046,0.137902528,-0.026356677,-0.019237991,0.215900019,-0.826842308,0.000000000
1709397271.376429,581092064.000000000,1709397155.000000000,-0.762437480,0.003035965,-0.016976734,0.646832173,0.212964445,-0.821904838,9.775780678,,,,,,,,,,,
1709397271.380759,,,,,,,,,,-0.358787357,-0.142483890,0.012336636,-0.071952154,1.499865586,0.131629467,-0.021476961,-0.019237991,0.212964445,-0.821904838,0.000000000
1709397271.408920,614869190.000000000,1709397155.000000000,-0.767009006,0.001733391,-0.018011251,0.641381294,0.210257471,-0.817259073,9.777954102,,,,,,,,,,,
1709397271.414187,,,,,,,,,,-0.367587881,-0.131198034,0.012114740,-0.072097209,1.516096508,0.124914490,-0.018926570,-0.018701810,0.210257471,-0.817259073,0.000000000
