__time,/mavros/local_position/pose/header/stamp/nanosec,/mavros/local_position/pose/header/stamp/sec,/mavros/local_position/pose/pose/orientation/w,/mavros/local_position/pose/pose/orientation/x,/mavros/local_position/pose/pose/orientation/y,/mavros/local_position/pose/pose/orientation/z,/mavros/local_position/pose/pose/position/x,/mavros/local_position/pose/pose/position/y,/mavros/local_position/pose/pose/position/z,/state_vector/data[0],/state_vector/data[1],/state_vector/data[2],/state_vector/data[3],/state_vector/data[4],/state_vector/data[5],/state_vector/data[6],/state_vector/data[7],/state_vector/data[8],/state_vector/data[9],/state_vector/layout/data_offset
1709381225.583098,,,,,,,,,,-1.114717484,0.255479544,0.002350732,-0.001746043,-1.112428665,0.302054256,-0.006471404,0.004226409,8.885282516,8.887571335,0.000000000
1709381225.590103,486419323.000000000,1709380821.000000000,-0.921886068,0.000283909,-0.001093779,-0.387459308,8.891595840,8.897107124,9.765605927,,,,,,,,,,,
1709381225.603244,,,,,,,,,,-1.108404160,0.253770381,0.002594692,-0.001864217,-1.102892876,0.301441282,-0.006315713,0.004078190,8.891595840,8.897107124,0.000000000
1709381225.619391,518460909.000000000,1709380821.000000000,-0.922086771,0.000165141,-0.000833558,-0.386982543,8.898020744,8.906626701,9.767090797,,,,,,,,,,,
1709381225.625197,,,,,,,,,,-1.108404160,0.253770381,0.002594692,-0.001864217,-1.102892876,0.301441282,-0.006315713,0.004078190,8.891595840,8.897107124,0.000000000
1709381225.644086,,,,,,,,,,-1.101979256,0.252076894,0.002530901,-0.001949981,-1.093373299,0.300740778,-0.006371311,0.003954938,8.898020744,8.906626701,0.000000000
1709381225.655639,554350453.000000000,1709380821.000000000,-0.922285514,0.000014552,-0.000685327,-0.386508665,8.906675339,8.913529396,9.768235207,,,,,,,,,,,
1709381225.663330,,,,,,,,,,-1.093324661,0.250708640,0.002602939,-0.002008792,-1.086470604,0.296583682,-0.006413289,0.003805410,8.906675339,8.913529396,0.000000000
1709381225.684056,,,,,,,,,,-1.093324661,0.250708640,0.002602939,-0.002008792,-1.086470604,0.296583682,-0.006413289,0.003805410,8.906675339,8.913529396,0.000000000
1709381225.697904,592743802.000000000,1709380821.000000000,-0.922388079,-0.000075280,-0.000617017,-0.386264065,8.913689613,8.919336319,9.768694878,,,,,,,,,,,
1709381225.704932,,,,,,,,,,-1.086310387,0.249692664,0.002851297,-0.002061634,-1.080663681,0.293404192,-0.006233678,0.003650872,8.913689613,8.919336319,0.000000000
1709381225.724442,,,,,,,,,,-1.086310387,0.249692664,0.002851297,-0.002061634,-1.080663681,0.293404192,-0.006233678,0.003650872,8.913689613,8.919336319,0.000000000
1709381225.727224,626465542.000000000,1709380821.000000000,-0.922612700,-0.000240413,-0.000474424,-0.385727641,8.920781136,8.925360680,9.768591881,,,,,,,,,,,
1709381225.743729,,,,,,,,,,-1.079218864,0.248697340,0.002967369,-0.002125168,-1.074639320,0.290333003,-0.006390024,0.003472573,8.920781136,8.925360680,0.000000000
1709381225.764048,,,,,,,,,,-1.079218864,0.248697340,0.002967369,-0.002125168,-1.074639320,0.290333003,-0.006390024,0.003472573,8.920781136,8.925360680,0.000000000
1709381225.765351,664015696.000000000,1709380821.000000000,-0.922839113,-0.000336618,-0.000370450,-0.385185296,8.928424835,8.931581497,9.767404556,,,,,,,,,,,
1709381225.783343,,,,,,,,,,-1.071575165,0.248296395,0.003161030,-0.002170026,-1.068418503,0.287385523,-0.006471326,0.003299848,8.928424835,8.931581497,0.000000000
1709381225.798799,695754854.000000000,1709380821.000000000,-0.922953141,-0.000365437,-0.000337780,-0.384912037,8.937528610,8.937983513,9.764258385,,,,,,,,,,,
